id	layout	base_bytes	control_bytes	candidate_bytes	base_sha256	control_sha256	candidate_sha256	base_control_length	base_control_sha256	base_control_full_byte	base_candidate_length	base_candidate_sha256	base_candidate_full_byte	control_candidate_length	control_candidate_sha256	control_candidate_full_byte	base_project_exact	control_project_exact	candidate_project_exact
clic-validation-000	default	8196184	8196184	8196184	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	9c68ff67c15c5d3df7daece012d3e9f0b8d7fd5e10e74e291d3aab1eebe97d80	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-000	compact	8130642	8130642	8130642	18d9249d9db6e2a1a371e08b221e756eb18b5845eb53eeaf7c5c1d4fb8a89c21	18d9249d9db6e2a1a371e08b221e756eb18b5845eb53eeaf7c5c1d4fb8a89c21	18d9249d9db6e2a1a371e08b221e756eb18b5845eb53eeaf7c5c1d4fb8a89c21	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-000	low-latency	8259942	8259942	8259942	ec6a63f4a1a983da016bde2d9bd2c33dd86b7f52260068ee315f40a39ecacb23	ec6a63f4a1a983da016bde2d9bd2c33dd86b7f52260068ee315f40a39ecacb23	ec6a63f4a1a983da016bde2d9bd2c33dd86b7f52260068ee315f40a39ecacb23	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-001	default	6591856	6591856	6591856	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	149edccd9f2cf96d52a7aae7c69e63d34fb41ccd303c79e5d83fe1ac4afad11d	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-001	compact	6257982	6257982	6257982	3c7505f77611d11a7e895e96a579dc06b60ae2624030a6aba0f177788d342193	3c7505f77611d11a7e895e96a579dc06b60ae2624030a6aba0f177788d342193	3c7505f77611d11a7e895e96a579dc06b60ae2624030a6aba0f177788d342193	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-001	low-latency	6309214	6309214	6309214	c2090db3dd739e29001877c4a2e25d8ca52f9a9ee0a8160b5ef698cfa86898ee	c2090db3dd739e29001877c4a2e25d8ca52f9a9ee0a8160b5ef698cfa86898ee	c2090db3dd739e29001877c4a2e25d8ca52f9a9ee0a8160b5ef698cfa86898ee	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-002	default	6836132	6836132	6836132	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1ebaae9d25de608411a3f2cb735254500ba316514d204b17a34294620265fb8a	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-002	compact	5799410	5799410	5799410	fdf1ededbf1cc3cc9876d7ef87745d966e3afa91b1755c8a5645d5ebcdbe579f	fdf1ededbf1cc3cc9876d7ef87745d966e3afa91b1755c8a5645d5ebcdbe579f	fdf1ededbf1cc3cc9876d7ef87745d966e3afa91b1755c8a5645d5ebcdbe579f	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-002	low-latency	5942826	5942826	5942826	590e0a13213b6fcb65a9d9ef075979d8d15aac38443ec59b09811b22ff98749f	590e0a13213b6fcb65a9d9ef075979d8d15aac38443ec59b09811b22ff98749f	590e0a13213b6fcb65a9d9ef075979d8d15aac38443ec59b09811b22ff98749f	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-003	default	6725608	6725608	6725608	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	75cf3e0429537f5bd6d3a5d86080259584ff58102ddc4b45ef4a582672ebadb9	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-003	compact	6050450	6050450	6050450	e10ea33e6002a5987ee71643069f4f86f3957c1267cd04e31fbaa0d12ee16dc0	e10ea33e6002a5987ee71643069f4f86f3957c1267cd04e31fbaa0d12ee16dc0	e10ea33e6002a5987ee71643069f4f86f3957c1267cd04e31fbaa0d12ee16dc0	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-003	low-latency	6126922	6126922	6126922	ff6b70383ee471761993421c3cbbf41b2afaa354f7929c91c2f4d3242c68c3cf	ff6b70383ee471761993421c3cbbf41b2afaa354f7929c91c2f4d3242c68c3cf	ff6b70383ee471761993421c3cbbf41b2afaa354f7929c91c2f4d3242c68c3cf	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-004	default	5940292	5940292	5940292	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	e90844c21caac5b0e72d950fff4ec0af46e28e3230f35d010594e5fe3401cf01	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-004	compact	5328258	5328258	5328258	bc6770e98016f1c4c53ef0b7615855a353379a88207e8e26ffadddebbc70f93e	bc6770e98016f1c4c53ef0b7615855a353379a88207e8e26ffadddebbc70f93e	bc6770e98016f1c4c53ef0b7615855a353379a88207e8e26ffadddebbc70f93e	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-004	low-latency	5437070	5437070	5437070	65ce567c757856d097508709d133e44961e03532f7ef5de65ea22d3c9021c13d	65ce567c757856d097508709d133e44961e03532f7ef5de65ea22d3c9021c13d	65ce567c757856d097508709d133e44961e03532f7ef5de65ea22d3c9021c13d	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-005	default	5929020	5929020	5929020	2bd4885cb12f58aeb32069d5343b924cddb48e2f7cc078d45d5787800850ae7a	2bd4885cb12f58aeb32069d5343b924cddb48e2f7cc078d45d5787800850ae7a	2bd4885cb12f58aeb32069d5343b924cddb48e2f7cc078d45d5787800850ae7a	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-005	compact	5539552	5539552	5539552	4329ae94ee36325203bccbde11c04de2a2618e1416d545533dbae2e0c1c769fd	4329ae94ee36325203bccbde11c04de2a2618e1416d545533dbae2e0c1c769fd	4329ae94ee36325203bccbde11c04de2a2618e1416d545533dbae2e0c1c769fd	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-005	low-latency	5390698	5390698	5390698	fb03d9a7eedaf2fe14215b55c94aadbace00721ee943867495351768b2c911bd	fb03d9a7eedaf2fe14215b55c94aadbace00721ee943867495351768b2c911bd	fb03d9a7eedaf2fe14215b55c94aadbace00721ee943867495351768b2c911bd	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-006	default	5931342	5931342	5931342	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-006	compact	5188746	5188746	5188746	5376977dc084638ccec748bbcadeac318272b941840f5ad5d06bd0e09b918f8c	5376977dc084638ccec748bbcadeac318272b941840f5ad5d06bd0e09b918f8c	5376977dc084638ccec748bbcadeac318272b941840f5ad5d06bd0e09b918f8c	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-006	low-latency	5209140	5209140	5209140	afa08d0570a6655b7e11302c35c603f5d733fd94b21116d03f78d29e156668a2	afa08d0570a6655b7e11302c35c603f5d733fd94b21116d03f78d29e156668a2	afa08d0570a6655b7e11302c35c603f5d733fd94b21116d03f78d29e156668a2	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-007	default	8390522	8390522	8390522	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-007	compact	7922454	7922454	7922454	a167d22de8bbc29566578dded9a041b1f6f1ae47bf0b4ade070bbd01025d4c3c	a167d22de8bbc29566578dded9a041b1f6f1ae47bf0b4ade070bbd01025d4c3c	a167d22de8bbc29566578dded9a041b1f6f1ae47bf0b4ade070bbd01025d4c3c	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-007	low-latency	8112576	8112576	8112576	870073f36e25e5d9aa254202c4650a810e47e8016d03d4847db8c2e3b7674ade	870073f36e25e5d9aa254202c4650a810e47e8016d03d4847db8c2e3b7674ade	870073f36e25e5d9aa254202c4650a810e47e8016d03d4847db8c2e3b7674ade	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-008	default	4821292	4821292	4821292	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-008	compact	4327522	4327522	4327522	38b8566aba827bfe898877889691d7eb54398dbb58fa83c9f00e57ea7f7c1bca	38b8566aba827bfe898877889691d7eb54398dbb58fa83c9f00e57ea7f7c1bca	38b8566aba827bfe898877889691d7eb54398dbb58fa83c9f00e57ea7f7c1bca	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-008	low-latency	4391630	4391630	4391630	152787c9657668d8cc4122f6fb463985d6068a2e1104e2547211b652bb5c6413	152787c9657668d8cc4122f6fb463985d6068a2e1104e2547211b652bb5c6413	152787c9657668d8cc4122f6fb463985d6068a2e1104e2547211b652bb5c6413	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-009	default	4585812	4585812	4585812	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	6884224abdceb111a45dfc48b4d7e6a61d6d109c1db257c481e2ba3bc6c8a801	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-009	compact	5063414	5063414	5063414	964f6f54f21bb5c3e7877170ae44f804b82264da97561cf429af7b7af4dbf59c	964f6f54f21bb5c3e7877170ae44f804b82264da97561cf429af7b7af4dbf59c	964f6f54f21bb5c3e7877170ae44f804b82264da97561cf429af7b7af4dbf59c	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-009	low-latency	5114026	5114026	5114026	1efa2a7beace650c60933e80fb529426037dd5abd6c8f1c58e2f281ae224bd09	1efa2a7beace650c60933e80fb529426037dd5abd6c8f1c58e2f281ae224bd09	1efa2a7beace650c60933e80fb529426037dd5abd6c8f1c58e2f281ae224bd09	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-010	default	4596850	4596850	4596850	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1c05b056142f0f42b5843e8eab9e36b74c3a238f526a1c4ad2b350f56ab0d379	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-010	compact	3997470	3997470	3997470	c9dc13f0291bd11d641b455f7bf291712057154060990b11c5a863f8227dc98f	c9dc13f0291bd11d641b455f7bf291712057154060990b11c5a863f8227dc98f	c9dc13f0291bd11d641b455f7bf291712057154060990b11c5a863f8227dc98f	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-010	low-latency	4032212	4032212	4032212	5c84b56441ae479b4e60dc92fc48c66d589b2b0fadf3d6d72f17a6eb1fef2278	5c84b56441ae479b4e60dc92fc48c66d589b2b0fadf3d6d72f17a6eb1fef2278	5c84b56441ae479b4e60dc92fc48c66d589b2b0fadf3d6d72f17a6eb1fef2278	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-011	default	2219464	2219464	2219464	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1e56c49e1191b8955f07dd5408b2cd2d36d4fb00fb9685c27467410c22893335	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-011	compact	1961344	1961344	1961344	5f2b48818cd484250967be7ab1b97740b53d928f4f8bd913ebe92534f25e5745	5f2b48818cd484250967be7ab1b97740b53d928f4f8bd913ebe92534f25e5745	5f2b48818cd484250967be7ab1b97740b53d928f4f8bd913ebe92534f25e5745	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-011	low-latency	2023660	2023660	2023660	1e9447f026d14b4f9d6b24047037e98aeb9815ff85e41e42cdf1ba8099ebf307	1e9447f026d14b4f9d6b24047037e98aeb9815ff85e41e42cdf1ba8099ebf307	1e9447f026d14b4f9d6b24047037e98aeb9815ff85e41e42cdf1ba8099ebf307	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-012	default	5327640	5327640	5327640	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	e4bbc72d958f2869d91e600b9c1a2668ae12b947f097c8052e1cdeb0dce55293	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-012	compact	4891824	4891824	4891824	6374142beb526c9ab53359ee18584d832d91b6009c57d6fd741c56a3a93dfe99	6374142beb526c9ab53359ee18584d832d91b6009c57d6fd741c56a3a93dfe99	6374142beb526c9ab53359ee18584d832d91b6009c57d6fd741c56a3a93dfe99	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-012	low-latency	5008486	5008486	5008486	e1fdd28e3d907c7080858d4e9e304896728e43e107f90b6518475a2925d88e74	e1fdd28e3d907c7080858d4e9e304896728e43e107f90b6518475a2925d88e74	e1fdd28e3d907c7080858d4e9e304896728e43e107f90b6518475a2925d88e74	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-013	default	5522704	5522704	5522704	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	3f9fe579235ba830e59730d001958e0d9649d39159f2061ee93c983e24704835	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-013	compact	5058144	5058144	5058144	906e488dbb2917fd7eb37683db13b476631d07fdc1b4ee3d6512c462d20ce7d6	906e488dbb2917fd7eb37683db13b476631d07fdc1b4ee3d6512c462d20ce7d6	906e488dbb2917fd7eb37683db13b476631d07fdc1b4ee3d6512c462d20ce7d6	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-013	low-latency	5153972	5153972	5153972	b7269c342b5ba02d18329ddf4cb6b32c7973f80dc16e5b3d355fb9585f9c970d	b7269c342b5ba02d18329ddf4cb6b32c7973f80dc16e5b3d355fb9585f9c970d	b7269c342b5ba02d18329ddf4cb6b32c7973f80dc16e5b3d355fb9585f9c970d	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-014	default	5417568	5417568	5417568	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	c9c311b0bf988418c86c7e4c8c4d4f021500518e4b1d044dae4dd82fba9299da	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-014	compact	5293592	5293592	5293592	09247863add854c8f90424a8bf7d929be8cc3dae653218894145f534dbb71eba	09247863add854c8f90424a8bf7d929be8cc3dae653218894145f534dbb71eba	09247863add854c8f90424a8bf7d929be8cc3dae653218894145f534dbb71eba	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-014	low-latency	5386808	5386808	5386808	02539e8fe6fad539367e4095c7915b8de2ddc7f5ae3568dd60006266221c6336	02539e8fe6fad539367e4095c7915b8de2ddc7f5ae3568dd60006266221c6336	02539e8fe6fad539367e4095c7915b8de2ddc7f5ae3568dd60006266221c6336	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-015	default	5769074	5769074	5769074	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	952c19851c58eb31c904d80dbf8471e3c1852fd85a8193673cef39bbc0b774c4	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-015	compact	5656200	5656200	5656200	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	2bf7e29200e43f63d2313332321eee06a4cbec812f6f7fe0fccc75d12e76bec0	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-015	low-latency	5684412	5684412	5684412	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	c6e6b56cc341b26466a4a99112dba8b44256a62d633f70297a833d8a965f2615	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	default	5331074	5331074	5331074	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	e1629d116a2e32a25c9e40b493680c72cac20b791ce0b8fa22d7ee0db3dfa645	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	compact	4555750	4555750	4555750	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	58f063c0624fced1035134cbbd7080089cf4ebc1751ebf3c75812069bb3e0543	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-016	low-latency	4701704	4701704	4701704	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	59d8731b778639bb58c6487b5a7ce3bee48e3ed40427e35536f44ea86212d27b	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	default	6910582	6910582	6910582	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	af59fbfdac61e217c815935b3e4db6d0c49c79bb2590abae2b89f444c099a311	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	compact	6691500	6691500	6691500	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	c292ccc118db2a047889d7291ebe886a96df2f9e046caed50ec213ba81521249	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-017	low-latency	6719656	6719656	6719656	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	e179d24b01bbe4e8be5b051880547863c28ab4b30f9c8ab97b2519ece50adece	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	default	5479718	5479718	5479718	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	8c68dcbbb7b6546083c2d7dbced76e386fb5efd51b168c36336c304f36a351be	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	compact	5115144	5115144	5115144	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	0cbe2ca85c119e547b298d7a4a5a5a66e9b0e9e54121c827e6259a782fd6baad	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-018	low-latency	5118420	5118420	5118420	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	02cf183ec281c5e4d16e8a594d64dd6b55987bfb7425495a6eb333f12cd4ff18	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	default	4600256	4600256	4600256	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	8f258a1ef56f6e51ee39199102d21f2da4905ec7d549f6ea2f3760cb4f3235ed	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	compact	5039696	5039696	5039696	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	25da1388cac1646e9fdcc7c812ed2a11050227bb2e06f3990695f7b5e27ee82e	1	1	1	1	1	1	1	1	1	1	1	1
clic-validation-019	low-latency	5108948	5108948	5108948	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	2f7d8431ea7fbacf05909e9a0953db42f1d7281df28473d65c3c435ab57621f6	1	1	1	1	1	1	1	1	1	1	1	1
